run,seconds
0,0.017315
0,0.022254
0,0.029754
0,0.026966
0,0.023266
0,0.019700
0,0.025069
0,0.019171
0,0.016126
0,0.017861
0,0.018205
0,0.021185
0,0.017578
0,0.018881
0,0.016277
0,0.020903
0,0.023048
0,0.019951
0,0.022910
0,0.021250
0,0.029385
0,0.023500
0,0.021730
0,0.018251
0,0.016689
0,0.020187
0,0.021569
0,0.019737
0,0.019822
0,0.028017
0,0.025956
0,0.017917
0,0.022311
0,0.017826
0,0.019899
0,0.018795
0,0.017113
0,0.020113
0,0.018957
0,0.018853
0,0.029061
0,0.019789
0,0.020926
0,0.015417
0,0.016998
0,0.021809
0,0.018321
0,0.019963
0,0.021956
0,0.027109
0,0.023501
0,0.021438
0,0.018865
0,0.016774
0,0.018874
0,0.020298
0,0.019609
0,0.027160
0,0.021474
0,0.030109
0,0.018636
0,0.023709
0,0.017011
0,0.019986
0,0.022020
0,0.017989
0,0.016196
0,0.021246
0,0.028953
0,0.020865
0,0.018926
0,0.020805
0,0.016486
0,0.020986
0,0.024178
0,0.016847
0,0.023833
0,0.025004
0,0.031429
0,0.018699
0,0.020015
0,0.017774
0,0.018202
0,0.021113
0,0.017996
0,0.019717
0,0.017900
0,0.018191
0,0.020589
0,0.017620
0,0.020538
0,0.020153
0,0.019240
0,0.020783
0,0.021437
0,0.020489
0,0.020999
0,0.017990
0,0.028625
0,0.019615
0,0.017648
0,0.018913
0,0.020624
0,0.024726
0,0.022167
0,0.022325
0,0.020660
0,0.021335
0,0.020132
0,0.016092
0,0.017002
0,0.019841
0,0.028668
0,0.026201
0,0.019418
0,0.021044
0,0.027098
0,0.022945
0,0.019534
0,0.016048
0,0.019093
0,0.018626
0,0.019332
0,0.019260
0,0.018190
0,0.021060
0,0.018709
0,0.019041
0,0.018029
0,0.017469
0,0.017461
0,0.019448
0,0.021935
0,0.020955
0,0.019444
0,0.019942
0,0.020773
0,0.028455
0,0.019282
0,0.019848
0,0.018950
0,0.019265
0,0.020568
0,0.020279
0,0.031320
0,0.019921
0,0.020631
0,0.020836
0,0.020487
0,0.016700
0,0.019984
0,0.025309
0,0.025263
0,0.021346
0,0.018823
0,0.023463
0,0.026545
0,0.020509
0,0.018078
0,0.023716
0,0.020166
0,0.019821
0,0.025547
0,0.021848
0,0.023044
0,0.019156
0,0.020822
0,0.017211
0,0.017984
0,0.019449
0,0.019351
0,0.023781
0,0.026677
0,0.022309
0,0.028649
0,0.021684
0,0.018876
0,0.015725
0,0.018336
0,0.020744
